OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
9845,06,075,011100,1400000US06075011100,06075011100,111,San Francisco,CA,Califor,"Census Tract 111, San Francisco County, Californ","4,835.00",403.00,"4,613.00",0.79,0.23,0.79,0.35,0.00,0.41,0.98,0.73,2.12,0.60,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.86,0.04,1.28,0.25,0.00,0.77,0.00,0.77,0.32,0.73,0.73,0.73,5.76,0.42,0.71,0.71,0.71,0.24,0.74,0.01,1.00,0.39,0.25,0.44,3.07,0.40,0.45,0.03,0.44,0.90,1.82,0.34,0.00,0.45,0.45,0.20,6.04,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.71,1.77,36.45,0.00,100.00,0.00,0.00,0.00,0.00,100.00,89.12,16.22,0.00,100.00,0.00,87.72,54.00,17.15,17.00,0.50,59.60,23.07,3.90,14.80,14.90,4.80,11.60,12.30,0.00,0.20,22.30,7.60,4.80,10.60,7.70,0.06,0.03,0.15,0.14,0.13,"2,020.76","247,108.76"
9846,06,075,011200,1400000US06075011200,06075011200,112,San Francisco,CA,Califor,"Census Tract 112, San Francisco County, Californ","3,329.00",311.00,"2,268.00",0.77,0.22,0.77,0.33,0.00,0.43,0.98,0.72,2.13,0.60,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.95,0.04,1.37,0.32,0.00,0.77,0.00,0.77,0.32,0.31,0.31,0.31,5.44,0.35,0.62,0.62,0.62,0.24,0.41,0.65,0.97,0.48,0.22,0.43,3.41,0.48,0.81,0.03,0.19,0.83,1.87,0.38,0.00,0.45,0.45,0.20,6.34,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.76,1.83,36.39,0.00,100.00,0.00,0.00,0.00,0.00,100.00,95.35,16.28,0.00,100.00,0.00,20.80,41.30,17.30,8.10,6.10,39.20,25.65,3.60,14.60,21.40,6.90,8.20,7.70,0.00,0.20,25.70,7.50,6.50,9.30,8.30,0.16,0.03,0.45,0.20,0.05,"1,772.79","177,284.20"
9847,06,075,011300,1400000US06075011300,06075011300,113,San Francisco,CA,Califor,"Census Tract 113, San Francisco County, Californ","2,843.00",422.00,"2,298.00",1.65,0.69,1.25,0.70,0.00,0.43,0.98,0.74,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.87,0.02,1.27,0.24,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.33,0.32,0.88,0.88,0.88,0.73,0.98,0.42,0.99,0.83,0.37,0.95,5.28,0.86,0.98,0.05,0.96,1.00,2.98,0.99,0.00,0.72,0.72,0.42,9.86,0.93,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,8.79,1.88,36.84,0.00,100.00,0.00,0.00,0.00,0.00,100.00,89.86,17.00,0.00,100.00,0.00,16.57,84.50,43.42,45.00,4.20,47.30,40.36,5.30,39.80,35.00,9.00,24.60,50.40,0.00,1.30,36.80,7.70,6.50,11.70,18.50,0.76,0.04,0.45,0.95,0.24,"1,591.34","102,291.41"
9848,06,075,011700,1400000US06075011700,06075011700,117,San Francisco,CA,Califor,"Census Tract 117, San Francisco County, Californ","1,790.00",199.00,"19,883.00",1.32,0.53,1.32,0.74,0.00,0.43,0.99,0.76,2.18,0.62,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.80,0.00,1.19,0.18,0.43,0.77,0.00,1.20,0.57,0.58,0.58,0.58,6.01,0.48,0.79,0.79,0.79,0.57,0.84,0.39,1.00,0.70,0.48,0.92,4.91,0.79,0.66,0.03,0.78,0.97,2.44,0.83,0.00,0.89,0.89,0.55,9.04,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.79,2.03,37.44,0.00,100.00,0.00,0.00,0.00,0.00,100.00,85.47,18.25,22.41,100.00,0.00,61.50,68.60,33.39,22.20,4.00,56.40,33.58,6.80,36.50,18.30,5.60,17.10,24.30,0.00,4.50,28.50,8.10,5.10,12.10,11.30,0.30,0.09,0.19,0.57,0.28,"3,604.76","547,887.49"
9849,06,075,011800,1400000US06075011800,06075011800,118,San Francisco,CA,Califor,"Census Tract 118, San Francisco County, Californ","1,570.00",185.00,"1,559.00",1.56,0.65,1.16,0.63,0.00,0.43,0.98,0.74,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.86,0.00,1.24,0.22,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,5.31,0.32,0.90,0.90,0.90,0.75,0.96,0.61,0.99,0.89,0.25,0.81,5.25,0.85,0.84,0.04,0.34,1.00,2.22,0.69,0.00,0.69,0.69,0.39,9.06,0.84,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,8.79,1.92,36.93,0.00,100.00,0.00,0.00,0.00,0.00,100.00,89.21,19.17,0.00,100.00,0.00,16.57,87.70,44.59,36.10,5.70,47.30,44.33,3.90,27.60,22.40,7.90,10.30,50.00,0.00,1.00,37.50,7.30,5.50,11.60,19.50,0.78,0.02,0.26,0.96,0.23,961.47,"56,558.18"
9850,06,075,011901,1400000US06075011901,06075011901,119.01,San Francisco,CA,Califor,"Census Tract 119.01, San Francisco County, Calif","2,699.00",202.00,"1,089.00",0.72,0.19,0.72,0.29,0.00,0.42,0.98,0.74,2.15,0.60,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.85,0.37,1.61,0.54,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,6.12,0.51,0.67,0.67,0.67,0.13,0.05,0.47,0.98,0.58,0.36,0.07,2.64,0.31,0.37,0.02,0.02,0.29,0.71,0.02,0.00,0.95,0.95,0.61,4.97,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.74,1.83,36.91,0.00,100.00,0.00,0.00,0.00,0.00,100.00,88.98,11.42,0.00,100.00,0.00,87.95,48.10,12.03,1.70,4.60,40.60,28.68,5.20,4.40,13.60,4.20,4.00,0.40,0.00,10.40,22.10,7.50,5.30,9.60,6.10,0.06,0.03,0.22,0.04,0.06,"1,010.16","62,294.11"
9851,06,075,011902,1400000US06075011902,06075011902,119.02,San Francisco,CA,Califor,"Census Tract 119.02, San Francisco County, Calif","2,712.00",277.00,"2,134.00",0.59,0.13,0.59,0.20,0.00,0.43,0.98,0.75,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.98,0.08,1.44,0.39,0.00,0.77,0.00,0.77,0.32,0.36,0.36,0.36,5.59,0.38,0.64,0.64,0.64,0.25,0.25,0.29,1.00,0.61,0.10,0.29,2.78,0.34,0.46,0.03,0.23,0.80,1.51,0.15,0.00,0.00,0.00,0.00,4.94,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.77,1.87,37.08,0.00,100.00,0.00,0.00,0.00,0.00,100.00,97.29,15.42,0.00,100.00,0.00,27.73,44.30,17.96,5.30,3.30,56.50,29.80,2.10,10.70,15.00,4.90,8.70,6.40,0.00,0.00,19.40,7.80,4.20,11.00,5.50,0.03,0.05,0.08,0.03,0.17,"1,298.55","93,095.02"
9852,06,075,012000,1400000US06075012000,06075012000,120,San Francisco,CA,Califor,"Census Tract 120, San Francisco County, Californ","3,973.00",438.00,"2,898.00",1.15,0.44,1.15,0.63,0.00,0.41,0.98,0.74,2.13,0.60,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.78,0.03,1.20,0.18,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.68,0.40,0.75,0.75,0.75,0.63,0.56,0.93,1.00,0.74,0.72,0.56,5.13,0.83,0.16,0.02,0.61,0.88,1.68,0.24,0.00,0.85,0.85,0.52,8.41,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.69,1.80,36.80,0.00,100.00,0.00,0.00,0.00,0.00,100.00,83.95,16.67,0.00,100.00,0.00,87.95,60.90,36.86,11.20,12.30,61.40,35.39,11.10,18.10,9.50,4.30,14.00,10.70,0.00,3.20,24.70,8.30,4.60,12.50,8.20,0.12,0.12,0.12,0.18,0.33,"1,589.67","124,248.31"
9853,06,075,012100,1400000US06075012100,06075012100,121,San Francisco,CA,Califor,"Census Tract 121, San Francisco County, Californ","3,859.00",406.00,"3,125.00",0.87,0.28,0.87,0.41,0.00,0.42,0.98,0.76,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.98,0.08,1.45,0.39,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.97,0.47,0.72,0.72,0.72,0.35,0.39,0.56,1.00,0.78,0.31,0.23,3.62,0.53,0.06,0.02,0.04,0.80,0.93,0.03,0.00,0.96,0.96,0.62,6.23,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.73,1.87,37.39,0.00,100.00,0.00,0.00,0.00,0.00,100.00,97.21,15.33,0.00,100.00,0.00,87.95,55.90,22.86,7.70,5.30,52.80,37.04,4.60,9.10,6.70,3.90,4.90,6.30,0.00,14.30,16.60,8.60,3.20,13.00,4.90,0.01,0.18,0.02,0.02,0.39,"1,588.53","123,384.35"
9854,06,075,012201,1400000US06075012201,06075012201,122.01,San Francisco,CA,Califor,"Census Tract 122.01, San Francisco County, Calif","4,620.00",349.00,"1,642.00",0.95,0.32,0.95,0.47,0.00,0.41,0.98,0.77,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.91,0.24,1.54,0.48,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,6.06,0.49,0.74,0.74,0.74,0.55,0.66,0.19,1.00,0.72,0.50,0.53,4.14,0.64,0.12,0.07,0.64,0.86,1.68,0.24,0.00,0.00,0.00,0.00,6.57,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,1.85,37.64,0.00,100.00,0.00,0.00,0.00,0.00,100.00,92.74,13.33,0.00,100.00,0.00,87.95,59.50,32.62,13.80,2.60,54.10,34.23,7.10,17.30,8.40,11.80,14.40,9.10,0.00,0.00,22.90,7.90,4.20,12.20,8.20,0.07,0.06,0.08,0.18,0.29,"1,214.50","92,031.45"
9855,06,075,012202,1400000US06075012202,06075012202,122.02,San Francisco,CA,Califor,"Census Tract 122.02, San Francisco County, Calif","3,181.00",404.00,"1,582.00",1.34,0.54,1.34,0.75,0.00,0.40,0.98,0.77,2.16,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.77,0.01,1.16,0.16,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.68,0.40,0.77,0.77,0.77,0.86,0.70,0.85,0.99,0.96,0.48,0.85,5.70,0.92,0.63,0.03,0.99,0.85,2.51,0.87,0.00,0.97,0.97,0.63,9.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,1.81,37.68,0.00,100.00,0.00,0.00,0.00,0.00,100.00,83.08,18.17,0.00,100.00,0.00,87.95,63.90,54.57,15.40,9.30,47.70,53.34,6.80,29.90,17.90,6.50,30.00,8.40,0.00,17.90,29.20,9.40,4.50,15.20,11.80,0.34,0.40,0.11,0.63,0.64,"1,214.52","92,605.08"
9856,06,075,012301,1400000US06075012301,06075012301,123.01,San Francisco,CA,Califor,"Census Tract 123.01, San Francisco County, Calif","2,117.00",358.00,"3,620.00",2.07,0.84,1.47,0.82,0.00,0.42,0.98,0.78,2.18,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.89,0.03,1.30,0.26,0.37,0.77,0.00,1.14,0.55,0.74,0.74,0.74,6.21,0.53,0.80,0.80,0.80,0.87,0.97,0.65,1.00,0.99,0.62,0.93,6.03,0.96,0.68,0.06,0.99,0.98,2.71,0.94,0.48,0.00,0.48,0.24,10.02,0.94,1.00,0.00,0.00,1.00,1.00,3.00,0.60,0.00,8.72,1.90,37.80,0.00,100.00,0.00,0.00,0.00,0.00,100.00,91.35,16.67,14.47,100.00,0.00,87.95,69.80,54.70,39.50,6.10,60.70,62.08,9.00,37.80,18.70,10.50,30.30,27.40,0.60,0.00,38.70,10.00,6.00,16.70,18.20,0.82,0.57,0.35,0.95,0.77,"1,586.68","91,993.17"
9857,06,075,012302,1400000US06075012302,06075012302,123.02,San Francisco,CA,Califor,"Census Tract 123.02, San Francisco County, Calif","2,713.00",250.00,"2,967.00",1.11,0.42,1.11,0.60,0.00,0.42,0.98,0.79,2.19,0.62,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.79,0.30,1.48,0.42,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,6.03,0.48,0.75,0.75,0.75,0.50,0.40,0.72,1.00,0.86,0.49,0.68,4.66,0.75,0.09,0.02,0.85,0.81,1.77,0.31,0.44,0.00,0.44,0.19,7.62,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.72,1.88,38.16,0.00,100.00,0.00,0.00,0.00,0.00,100.00,84.65,12.58,0.00,100.00,0.00,87.95,59.90,29.93,7.90,6.90,72.70,42.47,6.90,22.30,7.50,3.10,19.00,6.80,0.40,0.00,21.50,8.20,3.90,12.30,7.60,0.05,0.10,0.05,0.13,0.30,"1,589.56","92,639.57"
